date,inn,count,outs,trackmanPitchUID,TrackmanGameID,playGuid,TeamId,GameID,ContactY,ContactX,CThrowDownLineDist,ContactZ,PickAttBase,SBA2,SBA3,CTimeToBase,CThrowBase,CExchTime,CThrowHeight,CThrowSpd,DelivTime,ForwVel,HangTime,BrkY,SB3,SB2,xWOBA,LandAng,ABResult,xSLG,xISO,xAVG,PitchHand,BatterHand,PopTime,PlayDesc,ManOn2nd,ManOn3rd,ManOn1st,PZNorm,PXNorm,Tilt,SpinDir,RelX,RelZ,HorzRelAngle,HorzApprAngle,VertRelAngle,VertApprAngle,IndVertBrk,HRDst,HorzBrk,FBDst,ExitDir,Extension,pitcher,batter,type,pitchResult,Vel,Spin,ExitVel,LaunchAng,pCallStrk%
2025-05-20 01:00:00,Bot 2,0-0,2,917a6810-358b-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1858-1868,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,IP_OUT,-,-,-,R,R,-,,,,1,-0.6057942857142857,-0.4850541176470588,2:02,240.8,-27.9,66.3,-3.51,-0.83,-2.05,-5.88,9.1,-,14.7,-,-,6.92,Horn,Norton,Fastball,Strike Looking,95.6,1997.8,-,-,95.9%
2025-05-20 01:00:00,Bot 2,0-1,2,9ceadf90-358b-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-1876-1891,730206976,257794396,1.49,0.67,-,1.88,0,,,-,0,-,-,-,-,73.9,4.12s,-,,,.058,-24.8,IP_OUT,.077,.020,.057,R,R,-,7/F,,,1,-0.7597714285714287,0.9302964705882353,8:41,80.3,-27.4,64.3,-2.22,-4.23,-0.22,-7.67,-0.7,295.1,-11.0,295.1,-22.6,6.81,Horn,Norton,Slider,Fly Out,83.0,2181.1,81.9,25.5,86.7%
2025-05-20 01:00:00,Bot 3,0-0,0,1f170ab0-358d-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-2477-2487,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,BB,-,-,-,R,R,-,,,,1,-1.0905257142857143,1.198475294117647,7:10,35.0,-26.9,65.6,-2.92,-3.84,-0.11,-8.68,-5.7,-,-5.0,-,-,6.79,Horn,Lebron,Slider,Ball,82.9,2130.6,-,-,45.5%
2025-05-20 01:00:00,Bot 3,1-0,0,33a445b0-358d-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-2512-2522,730206976,257794396,1.08,0.12,-,3.04,0,,,-,0,-,-,-,-,-,-,-,,,-,-,BB,-,-,-,R,R,-,,,,1,0.7607314285714283,0.266075294117647,1:27,223.3,-24.0,68.0,-3.44,-1.38,-1.17,-4.50,13.0,-,11.3,-,162.9,7.02,Horn,Lebron,Fastball,Foul,94.5,2204.0,78.4,20.9,95.8%
2025-05-20 01:00:00,Bot 3,1-1,0,42626190-358d-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-2536-2548,730206976,257794396,-,-,3.3,-,0,1,,1.30,2,0.73,-1.09,77.9,-,-,-,-,,,-,-,BB,-,-,-,R,R,2.03,,,,1,-1.250422857142857,1.570376470588235,8:02,60.9,-25.7,64.7,-3.01,-4.12,-0.61,-8.27,-2.2,-,-6.1,-,-,6.81,Horn,Lebron,Slider,Ball,83.4,2209.6,-,-,5.8%
2025-05-20 01:00:00,Bot 3,2-1,1,65e03a20-358d-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-2594-2605,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,BB,-,-,-,R,R,-,,,,,0.1469142857142859,1.6927623529411766,1:31,225.7,-24.4,67.9,-4.69,-2.41,-1.87,-4.92,13.1,-,12.5,-,-,6.98,Horn,Lebron,Fastball,Strike Looking,96.6,2290.4,-,-,40.2%
2025-05-20 01:00:00,Bot 3,2-2,1,6f7a9210-358d-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-2610-2621,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,BB,-,-,-,R,R,-,,,,,-1.7865371428571428,0.986964705882353,1:33,226.4,-24.9,67.3,-4.14,-1.96,-3.64,-6.76,12.2,-,11.9,-,-,7.12,Horn,Lebron,Fastball,Ball,97.0,2228.6,-,-,1.4%
2025-05-20 01:00:00,Bot 3,3-2,1,7b307700-358d-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-2630-2653,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,.697,-,BB,-,-,-,R,R,-,W,,,,-1.6661257142857142,1.1002870588235294,8:13,66.7,-27.0,64.7,-2.45,-4.16,-0.95,-8.67,-2.9,-,-9.4,-,-,6.57,Horn,Lebron,Slider,Walk,83.5,2190.9,-,-,1.3%
2025-05-20 01:00:00,Bot 3,0-0,2,057e0b20-358e-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-2862-2874,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,BB,-,-,-,R,L,-,,1,,1,0.6101028571428573,1.1463529411764706,1:28,224.2,-27.5,67.6,-4.57,-2.24,-1.51,-4.35,14.0,-,12.8,-,-,7.01,Horn,Hodo,Fastball,Ball,96.6,2275.0,-,-,65.3%
2025-05-20 01:00:00,Bot 3,1-0,2,36df7e10-358e-11f0-a93f-c16a47c07950,20250520-HooverMetropolitan-1,257794396-pix-682e06ef982b80da2c766164-2943-2956,730206976,257794396,-,-,-,-,0,,,-,0,-,-,-,-,-,-,-,,,-,-,BB,-,-,-,R,L,-,,1,,1,-0.6952457142857144,1.126870588235294,8:37,78.3,-25.8,67.3,-2.15,-4.30,-0.30,-7.99,-1.2,-,-11.7,-,-,6.76,Horn,Hodo,Slider,Strike Looking,82.0,2238.0,-,-,76.8%
