date,inn,count,outs,PitchHand,BatterHand,Pitcher,Batter,VertApprAngle,Tilt,SpinDir,PZ,PX,ManOn3rd,ManOn2nd,ManOn1st,IndVertBrk,HorzBrk,HorzApprAngle,FBDst,Extension,ExitDir,ABResult,type,pitchResult,Vel,Spin,ExitVel,LaunchAng,pCallStrk%
2025-05-20 01:00:00,Bot 3,1-2,2,R,L,S. Horn,W. Hodo,-8.97,8:36,78.0,0.89716,0.49588,,1,1,-1.2,-11.2,-4.06,-,6.56,-,BB,Slider,Ball,82.9,2132.6,-,-,1.3%
2025-05-20 01:00:00,Bot 3,2-2,2,R,L,S. Horn,W. Hodo,-7.86,9:00,90.0,1.62581,1.35769,,1,1,1.2,-7.6,-4.73,-,6.71,-,BB,Slider,Ball,83.9,2145.7,-,-,0.6%
2025-05-20 01:00:00,Bot 3,3-2,2,R,L,S. Horn,W. Hodo,-5.54,1:27,223.6,1.90512,1.23208,,1,1,13.9,12.3,-2.76,-,7.10,-,BB,Fastball,Walk,96.7,2267.8,-,-,4.6%
2025-05-20 01:00:00,Bot 3,0-0,2,R,R,S. Horn,J. Torres,-4.65,1:34,227.0,3.01989,0.0458,1,1,1,13.0,12.8,-1.26,-,7.00,-,K,Fastball,Strike Looking,95.5,2194.9,-,-,96.7%
2025-05-20 01:00:00,Bot 3,0-1,2,R,R,S. Horn,J. Torres,-5.81,1:24,222.1,1.90725,0.54076,1,1,1,13.7,11.4,-1.74,-,6.99,-,K,Fastball,Strike Looking,95.2,2206.9,-,-,97.1%
2025-05-20 01:00:00,Bot 3,0-2,2,R,R,S. Horn,J. Torres,-9.05,7:53,56.4,1.01408,0.45362,1,1,1,-5.1,-9.6,-3.77,-,6.55,-,K,Slider,Strikeout (Swinging),84.4,2224.9,-,-,1.0%
2025-05-20 01:00:00,Top 4,0-0,0,R,L,T. Fay,C. Nicoletto,-7.49,2:42,261.1,2.54759,-0.15543,,,,4.0,15.6,-1.02,-,7.23,-,K,Changeup,Strike Looking,80.2,1574.2,-,-,100.0%
2025-05-20 01:00:00,Top 4,0-1,0,R,L,T. Fay,C. Nicoletto,-6.17,9:36,108.0,3.54605,-0.60354,,,,4.8,-9.5,-3.47,-,6.21,-,K,Slider,Ball,79.6,2607.8,-,-,19.6%
2025-05-20 01:00:00,Top 4,1-1,0,R,L,T. Fay,C. Nicoletto,-7.35,2:23,251.5,1.66765,0.30823,,,,6.2,14.4,-1.93,-,6.87,-,K,Changeup,Strike Swinging,84.5,1651.6,-,-,81.5%
2025-05-20 01:00:00,Top 4,1-2,0,R,L,T. Fay,C. Nicoletto,-7.00,3:03,271.3,2.63772,-1.45623,,,,0.8,16.2,-0.04,-,7.03,-,K,Cutter,Strikeout (Swinging),83.1,1625.1,-,-,0.0%
2025-05-20 01:00:00,Top 4,0-0,1,R,L,T. Fay,M. Serna,-5.86,1:37,228.6,2.26017,-1.10134,,,,14.8,15.4,0.08,-,6.63,-,HR,Fastball,Ball,91.9,2449.9,-,-,51.9%
2025-05-20 01:00:00,Top 4,1-0,1,R,L,T. Fay,M. Serna,-6.61,2:55,267.7,2.84512,-1.8902,,,,1.9,15.8,0.85,-,6.89,-,HR,Changeup,Ball,85.1,1695.5,-,-,0.0%
2025-05-20 01:00:00,Top 4,2-0,1,R,L,T. Fay,M. Serna,-5.76,2:00,239.8,2.58418,-0.82421,,,,10.7,16.4,-0.47,-,6.68,-,HR,Sinker,Foul,90.5,2304.9,-,-,94.2%
2025-05-20 01:00:00,Top 4,2-1,1,R,L,T. Fay,M. Serna,-5.43,12:08,184.1,3.23487,-0.27884,,,,7.4,0.5,-2.27,355.7,6.66,32.9,HR,Cutter,Home Run on a 355.67 ft Fly Ball,86.1,2307.5,103.4,24.4,85.6%
2025-05-20 01:00:00,Top 4,0-0,1,R,R,T. Fay,T. Macon,-7.01,2:16,248.2,1.65517,1.13104,,,,7.0,14.9,-2.36,-,6.61,-,IP_OUT,Sinker,Ball,92.5,2383.3,-,-,22.9%
