Rank,team,date,opponent,result,Miss% vs CH,Miss% vs Spin,Miss% vs FB,ChangeMiss%,RISPPull%,FastMiss%,Swing%,HOppFld%,HPull%,LaunchAng,AvgEV,MaxEV,HardHit%,Barrel%,BB%,K%,xSLG,xWOBA,wOBA,PA,AB,BA,OBP,SLG,OPS,H,1B,2B,3B,HR
41,MIZZ,2025-03-01 01:00:00 (2),EVAN,W 17-7,-,0.0%,50.0%,-,0.0%,50.0%,60.0%,50.0%,0.0%,20.7,87.1,92.9,0%,0.0%,0.0%,50.0%,.258,.226,.222,4,4,.250,.250,.250,.500,1,1,0,0,0
42,MIZZ,2025-03-01 01:00:00,EVAN,W 6-2,66.7%,0.0%,40.0%,66.7%,-,40.0%,71.4%,0.0%,100.0%,-14.4,86.6,96.0,33%,0.0%,0.0%,25.0%,.280,.240,.665,4,4,.750,.750,.750,1.500,3,3,0,0,0
43,MIZZ,2025-02-28 01:00:00,EVAN,L 6-7,-,0.0%,20.0%,-,100.0%,20.0%,75.0%,0.0%,100.0%,-38.4,61.6,91.4,0%,0.0%,0.0%,25.0%,.074,.064,.295,4,3,.333,.333,.333,.667,1,1,0,0,0
44,MIZZ,2025-02-25 01:00:00,LU,W 14-10,-,-,100.0%,-,-,100.0%,75.0%,-,-,-,-,-,-,-,0.0%,100.0%,.000,.000,.000,1,1,.000,.000,.000,.000,0,0,0,0,0
45,MIZZ,2025-02-23 01:00:00,SOU,W 15-3,-,0.0%,0.0%,-,0.0%,0.0%,80.0%,50.0%,50.0%,-,-,-,-,-,0.0%,33.3%,-,.000,.417,3,3,.333,.333,.667,1.000,1,0,1,0,0
46,MIZZ,2025-02-22 01:00:00,ALST,L 2-10,-,-,0.0%,-,-,0.0%,60.0%,100.0%,0.0%,-,-,-,-,-,0.0%,50.0%,-,.000,.000,4,4,.000,.000,.000,.000,0,0,0,0,0
47,MIZZ,2025-02-21 01:00:00,FAMU,W 6-5,100.0%,20.0%,-,100.0%,50.0%,-,31.6%,33.3%,33.3%,-,-,-,-,-,0.0%,40.0%,-,.000,.177,5,5,.200,.200,.200,.400,1,1,0,0,0
48,MIZZ,2025-02-20 01:00:00,UCF,L 1-7,100.0%,50.0%,0.0%,100.0%,100.0%,0.0%,38.9%,0.0%,100.0%,-27.9,77.9,81.8,0%,0.0%,0.0%,25.0%,.076,.232,.182,4,3,.000,.250,.000,.250,0,0,0,0,0
49,MIZZ,2025-02-16 01:00:00,STET,L 7-9,0.0%,80.0%,25.0%,-,50.0%,25.0%,61.9%,33.3%,33.3%,6.4,88.5,97.5,33%,0.0%,0.0%,20.0%,.105,.089,.177,5,5,.200,.200,.200,.400,1,1,0,0,0
50,MIZZ,2025-02-15 01:00:00,CONN,W 11-7,0.0%,50.0%,20.0%,0.0%,50.0%,20.0%,62.5%,0.0%,25.0%,-0.6,71.1,104.6,25%,25.0%,0.0%,20.0%,.765,.316,.583,5,4,.500,.400,1.250,1.650,2,1,0,0,1
51,MIZZ,2025-02-14 01:00:00,PSU,L 0-10,-,100.0%,66.7%,-,-,66.7%,54.5%,0.0%,100.0%,-47.4,82.8,82.8,0%,0.0%,0.0%,66.7%,.048,.042,.000,3,3,.000,.000,.000,.000,0,0,0,0,0
